iter	MultiClass
0	3.320064039
1	3.271490934
2	3.226776222
3	3.17671933
4	3.135191681
5	3.098101765
6	3.058933224
7	3.023781507
8	2.990164919
9	2.956980291
10	2.925193007
11	2.896161277
12	2.870495761
13	2.845818413
14	2.822272004
15	2.80045228
16	2.775692453
17	2.754690012
18	2.731251592
19	2.709941964
20	2.686105355
21	2.670088129
22	2.655259723
23	2.640216951
24	2.624056197
25	2.608491986
26	2.593224386
27	2.577079311
28	2.561678848
29	2.546562496
30	2.530002251
31	2.517081181
32	2.505079829
33	2.49396386
34	2.482000571
35	2.465419074
36	2.452631949
37	2.44076125
38	2.431296405
39	2.421478057
40	2.413299123
41	2.401858466
42	2.39374349
43	2.380563259
44	2.37312644
45	2.361893269
46	2.350798799
47	2.339155364
48	2.329485424
49	2.318326752
50	2.309147038
51	2.300696518
52	2.292770044
53	2.283204979
54	2.274397722
55	2.266370682
56	2.256298417
57	2.247900828
58	2.239327463
59	2.229946788
60	2.223353364
61	2.215613715
62	2.205727599
63	2.197297975
64	2.187390489
65	2.17931674
66	2.170848059
67	2.16486863
68	2.16091606
69	2.154225106
70	2.149233637
71	2.142204504
72	2.135425502
73	2.130872025
74	2.12532761
75	2.118219468
76	2.111299185
77	2.105469491
78	2.098558598
79	2.092785182
80	2.084740857
81	2.07785135
82	2.071663405
83	2.06503544
84	2.058281011
85	2.048851466
86	2.043933711
87	2.038022724
88	2.031033618
89	2.025878682
90	2.019190596
91	2.014088736
92	2.008678484
93	2.001524282
94	1.995523692
95	1.990667512
96	1.986509961
97	1.98188696
98	1.976471654
99	1.972187261
100	1.967296803
101	1.961878117
102	1.958759811
103	1.954307232
104	1.947794117
105	1.942320519
106	1.936140281
107	1.930978347
108	1.927426571
109	1.923700567
110	1.918464027
111	1.914756784
112	1.91040558
113	1.905426966
114	1.899998939
115	1.894745939
116	1.890748744
117	1.887764186
118	1.883649245
119	1.878509039
120	1.872276893
121	1.866301633
122	1.861364435
123	1.857860725
124	1.853236022
125	1.849436735
126	1.846802156
127	1.841265794
128	1.836638842
129	1.833403591
130	1.828526838
131	1.826219123
132	1.821669945
133	1.817004009
134	1.812240124
135	1.80818385
136	1.804182673
137	1.800672634
138	1.797940459
139	1.793281464
140	1.788481525
141	1.785461466
142	1.781097488
143	1.777497156
144	1.77472839
145	1.773294822
146	1.770207098
147	1.76566009
148	1.762379849
149	1.759205792
150	1.756888064
151	1.753669796
152	1.750384823
153	1.747543855
154	1.74319964
155	1.740916061
156	1.738173722
157	1.733721205
158	1.729024093
159	1.72574986
160	1.723137807
161	1.720448902
162	1.71681382
163	1.713814598
164	1.708893399
165	1.704671971
166	1.702829383
167	1.699338171
168	1.6949388
169	1.690728921
170	1.686608851
171	1.684246665
172	1.680858531
173	1.677211993
174	1.674307097
175	1.670965574
176	1.666671976
177	1.663701381
178	1.660281428
179	1.656187793
180	1.652795328
181	1.648839059
182	1.646437155
183	1.643256834
184	1.641871659
185	1.637604392
186	1.634486465
187	1.632721517
188	1.630146419
189	1.627463321
190	1.62374388
191	1.621519366
192	1.619232646
193	1.615807533
194	1.613042553
195	1.610238848
196	1.607185331
197	1.604730026
198	1.602779547
199	1.599609157
200	1.596064859
201	1.594697789
202	1.591679474
203	1.588852373
204	1.58644193
205	1.583520274
206	1.582011889
207	1.57815608
208	1.575283864
209	1.572603569
210	1.570477786
211	1.567205937
212	1.564429463
213	1.56152335
214	1.558170064
215	1.555426764
216	1.552363132
217	1.549318677
218	1.54601031
219	1.542646603
220	1.539443616
221	1.537814646
222	1.535439475
223	1.533075613
224	1.530597367
225	1.528685646
226	1.525776782
227	1.523000257
228	1.519601704
229	1.516792766
230	1.514526009
231	1.512250415
232	1.509565218
233	1.507804818
234	1.504922541
235	1.502594562
236	1.501019129
237	1.498653729
238	1.495436406
239	1.492265098
240	1.489638478
241	1.486646623
242	1.484564526
243	1.481762742
244	1.480137535
245	1.477945604
246	1.475494546
247	1.472765795
248	1.470983543
249	1.468408371
250	1.466325092
251	1.464177101
252	1.461865568
253	1.459354552
254	1.457781346
255	1.455036294
256	1.453331428
257	1.450967881
258	1.448853167
259	1.447168058
260	1.445591366
261	1.442391523
262	1.439919716
263	1.436929698
264	1.435155558
265	1.432268828
266	1.43018157
267	1.427635991
268	1.425929095
269	1.424039425
270	1.422377614
271	1.419621537
272	1.416692063
273	1.414972389
274	1.412640105
275	1.410251925
276	1.407976904
277	1.404394326
278	1.400743568
279	1.399396054
280	1.398188785
281	1.396349676
282	1.393844868
283	1.390146761
284	1.387803201
285	1.38558904
286	1.384010686
287	1.381469618
288	1.380266128
289	1.378189102
290	1.375181535
291	1.371792171
292	1.369617289
293	1.368837408
294	1.367053641
295	1.365026542
296	1.363100152
297	1.362252483
298	1.359165497
299	1.358127259
300	1.356619911
301	1.355135242
302	1.352397575
303	1.350641043
304	1.348432234
305	1.346428414
306	1.345006266
307	1.343005468
308	1.340899709
309	1.337788683
310	1.335738999
311	1.334303243
312	1.33289625
313	1.33136123
314	1.32902281
315	1.327330093
316	1.32569339
317	1.32421339
