,key,key_confidence,mode,mode_confidence,number_of_sections,tempo,tempo_confidence,time_signature,time_signature_confidence,track_id
0,9.0,0.292,0.0,0.398,12.0,86.502,0.16,4.0,1.0,1ua6hBq18qZLyprXjMcpyf
1,7.0,0.743,0.0,0.453,12.0,98.003,0.583,4.0,1.0,42VpxSdGQgnV1UJkWeGYkA
2,1.0,0.655,1.0,0.368,12.0,85.036,0.325,4.0,0.979,1g8A166soQjwl1ihqBWKGW
3,11.0,0.547,1.0,0.56,12.0,125.088,0.476,4.0,0.845,6cAVWcj8TQ5yR2T6BZjnOg
4,0.0,0.905,1.0,0.753,12.0,170.556,0.183,4.0,0.799,3YA509E9ki7a3Ic9cf25Vt
5,9.0,0.038,1.0,0.343,12.0,120.083,0.706,4.0,1.0,19y7Eh2ORRo6spiEcr4aTU
6,9.0,0.394,0.0,0.447,12.0,119.988,0.797,4.0,1.0,19TAo8jPiXcgFHqbo7vqHp
7,1.0,0.404,1.0,0.517,12.0,103.013,0.756,4.0,1.0,36SX9SGiHKkoLODDddt9vZ
8,2.0,0.06,1.0,0.325,12.0,119.93,0.505,4.0,1.0,5VIYGFUngL0tTKFlAbXIbg
9,6.0,0.443,0.0,0.518,12.0,98.966,0.044,4.0,0.978,1KP3OTeaBYZOEORG6myajk
10,11.0,0.25,0.0,0.284,12.0,99.913,0.478,4.0,1.0,5xLRfAVRKGMejtz6TXgodL
11,4.0,0.365,1.0,0.41,12.0,103.136,0.399,4.0,0.54,6vs7bTzYNAo4D5tDVjHmIB
12,6.0,0.451,0.0,0.337,12.0,141.928,0.276,4.0,0.988,2WdFy0AzG7R8sVYl7NpzyJ
13,0.0,0.0,1.0,0.324,12.0,141.848,0.526,4.0,0.954,5CAadCIjbkXYNgXvu3HQAE
14,2.0,0.695,1.0,0.677,12.0,77.669,0.025,4.0,0.611,5pei8geLWBNaeHUOJqKcPa
15,3.0,0.744,1.0,0.728,12.0,87.953,0.0,4.0,1.0,59lmc1erBarSFuxFLxCzVX
16,2.0,0.702,1.0,0.797,12.0,105.053,0.459,4.0,0.994,6LkGST31GNVEQIoV5SoEb2
