,acousticness,danceability,energy,track_id,instrumentalness,liveness,speechiness,valence
0,0.37,0.483,0.462,1ua6hBq18qZLyprXjMcpyf,0.21,0.0875,0.029,0.351
1,0.362,0.682,0.538,42VpxSdGQgnV1UJkWeGYkA,0.000123,0.324,0.0283,0.713
2,0.195,0.536,0.753,1g8A166soQjwl1ihqBWKGW,0.801,0.12,0.0309,0.676
3,0.742,0.663,0.509,6cAVWcj8TQ5yR2T6BZjnOg,5.95e-06,0.112,0.0889,0.303
4,0.24,0.464,0.57,3YA509E9ki7a3Ic9cf25Vt,0.00121,0.138,0.04,0.548
5,0.345,0.797,0.312,19y7Eh2ORRo6spiEcr4aTU,0.0,0.112,0.0608,0.268
6,0.649,0.761,0.48,19TAo8jPiXcgFHqbo7vqHp,0.12,0.0985,0.0338,0.524
7,0.1,0.589,0.754,36SX9SGiHKkoLODDddt9vZ,0.0427,0.0852,0.0377,0.464
8,0.79,0.655,0.57,5VIYGFUngL0tTKFlAbXIbg,0.0017,0.184,0.0463,0.377
9,0.529,0.797,0.364,1KP3OTeaBYZOEORG6myajk,0.000108,0.326,0.1,0.178
10,0.522,0.641,0.549,5xLRfAVRKGMejtz6TXgodL,0.000113,0.0764,0.1,0.345
11,0.741,0.424,0.499,6vs7bTzYNAo4D5tDVjHmIB,0.00079,0.139,0.101,0.534
12,0.974,0.549,0.184,2WdFy0AzG7R8sVYl7NpzyJ,0.000181,0.0839,0.0388,0.451
13,0.736,0.596,0.223,5CAadCIjbkXYNgXvu3HQAE,0.00182,0.108,0.0275,0.0384
14,0.897,0.51,0.266,5pei8geLWBNaeHUOJqKcPa,0.00117,0.13,0.0293,0.249
15,0.891,0.679,0.562,59lmc1erBarSFuxFLxCzVX,0.352,0.137,0.0351,0.192
16,0.0383,0.496,0.464,6LkGST31GNVEQIoV5SoEb2,0.00329,0.177,0.028,0.159
17,0.00466,0.53,0.599,2NXHQtiZl9JzoowWvIXUxv,0.0118,0.0863,0.034,0.246
18,0.277,0.622,0.905,1qkFsJccNEtsmO91KXn3h7,0.108,0.253,0.0425,0.963
19,0.291,0.343,0.627,7tIsM8diWQm6xWG6N3PKCg,0.00895,0.178,0.0325,0.523
20,0.0994,0.509,0.516,2H0ZKqQRx3quZglAvmV0Xn,0.0812,0.0835,0.0502,0.148
21,0.849,0.76,0.321,7GwYyptT4tgRrCzcmA5DUX,0.869,0.102,0.0438,0.562
