,track_artistid,track_genre
0,6d3Hil7Y1xq0oEhtaDxEUg,
1,2iUVQjheBnvOt8vaBrxXJz,alternative country
2,7cfCmW2AFiMNdpJdY0vJsr,vapor pop
3,4MGA6AM4iZ2HYc6b77og9g,
4,1me05HW5s7TShHra5nN7uE,alternative americana
5,09kXLeOXRyfNQMXRaDO4qA,art pop
6,4tPyCwWrsvZ8OKYl7QRavL,chillwave
7,0J626PVezyRujeAfXAssnH,australian indie
8,1nJgCnenw0dYwvv56Q6Svs,
9,4wdK3zLMWPQK6CD0dpHh8F,british soul
10,4wyNyxs74Ux8UIDopNjIai,
11,7vjRpVXoecwKTEsrb9iscj,alternative r&b
12,02zPEtdzUWnPToEVLRiQ7e,a cappella
13,17mwzDXKn4ra9cuxXaptwp,art pop
14,2QIHd0B2VIKlmLyoq4lUr7,chamber pop
15,2X196fObsrfnNS25WLbeVE,
16,3GCBiJwLjAJKWRgAJJ2gz6,
17,4Xi4aFTZvoMChGDmSVgxTz,malmo indie
18,0Y4MvL6mOliZEB5uTLlX9z,denver indie
19,5H0YoDsPDi9fObFmJtTjfN,alternative dance
20,5MZshcD6Lsw7qjVsDyi0c5,
21,2RwfRD2vlkdztGtVXENShq,uk alternative pop
22,28JTu8hQLXShYssmOsJiax,
23,76HrK2f7GCk4phitcHr60T,new orleans funk
24,3XHO7cRUPCLOr6jwp8vsx5,indie rock
25,7wg1qvie3KqDNQbAkTdbX0,edm
26,6F93aFbWjhUtjRKXYmtr1Z,chamber psych
27,4EVpmkEwrLYEg6jIsiPMIb,chamber pop
28,5IL5awl9gUcb2ez9IgmW26,icelandic folk
29,6O4EGCCb6DoIiR6B1QCQgp,alternative dance
30,1ifC4znYCvmMSJ0rght5JS,indie anthem-folk
31,1bwUhKRmEkOZ1wuTnV9XjC,brooklyn indie
32,2orBKFyc84jo9AZH5jarhI,anti-folk
33,2RwfRD2vlkdztGtVXENShq,uk alternative pop
34,3S9sb8w9r1iojdrAL1soiU,cape town indie
35,04XggbrM51GcFPTxBYtRXT,art pop
36,2jTReqlg8DnjfZtCq3RzgV,cincinnati indie
37,4o16FybIZV7WPD7tOl7PUd,alaska indie
38,3ql5uzwA1gHtQ4XolMRkEV,
39,6m9a3tDNWDe6bVR2csIjEv,uk alternative pop
40,3oK9o2DLbk1VEda7KOMotd,la indie
41,4NZvixzsSefsNiIqXn0NDe,electropop
42,4NZvixzsSefsNiIqXn0NDe,electropop
43,37QzcUFUnGIrn6faZJWFnc,
44,4vbc6H6tevTioQeZ9RfGtF,chillwave
45,5VF0YkVLeVD4ytyiyVSIiF,art pop
46,4tPyCwWrsvZ8OKYl7QRavL,chillwave
47,75dQReiBOHN37fQgWQrIAJ,chillwave
48,7xUZ4069zcyBM4Bn10NQ1c,icelandic folk
49,3AcBSoCVhxILXJnfLcJb66,brooklyn indie
50,7vahFRSKRiVDOejIMEBWvO,
51,0z3YxKBfeFgP4PK1JQAdTw,german indie
52,63uxQhWEuj7Zuau9j5XKIB,
53,3jDtqAKltRxJi64svLZGj7,alternative r&b
54,3jzXlBF2157k4exx7idecs,canadian americana
55,14H7ag1wpQOsPPQJOD6Dqr,downtempo
56,2AcUPzkVWo81vumdzeLLRN,downtempo
57,4cm8GrJ4fx7P2h9shNhUia,dutch indie
58,7wg1qvie3KqDNQbAkTdbX0,edm
59,2LjbaKAB72Nj5zKjcRyOxz,la indie
60,4WgCTKIMWlD3z6UASgxyht,belgian pop
61,0nxkDLU7KQX931VkQqaGwJ,neo r&b
62,7K1kHQsB2m87TMVcDbZAfW,neo-psychedelic
63,4iKklgbBptQhEdkFaeE0nT,british soul
64,1VfgWum48nwYJcCfdPwWgs,baltimore indie
65,5PkbXJZcSRJ8psmxK3539r,
66,73dudJ9j0HStIhJDU8MjMI,bedroom pop
67,5eerVxtb9lY9p6D7m89Bs7,art pop
68,6voUG94cPeT7du1RBFXYb5,
69,0jzaoSt5gOC04OWBqN78VS,art pop
70,2SdK1QDmZIP2hk94rSaLl9,art pop
71,25lIYhqIj0R1AnnmqsTrtO,dutch indie
72,2yDN6MgOm6D8ZMNqCkJ3XJ,
73,1f1CocvNRSmgLgtqMsA0AR,
74,77SQlBEZyyJ7neYnlp0cDl,ambient
75,5YJXDPud21d8RrmnHGWNx5,eau claire indie
76,2Nkx8rC2qNI4l3GUCUB4KP,austrian pop
77,7gXy60xRcwYujBFoYHnR2O,eau claire indie
78,6lHO1eGthNnos9KP2BH0cG,bedroom pop
79,0vUTfcBDZZo2OUQJci5UNZ,alternative dance
80,7gXy60xRcwYujBFoYHnR2O,eau claire indie
81,0NrVrf231eji48nhNUJTXe,indie jazz
82,09s6bLEw45wioK9ytf3nsA,art pop
83,1ZxriNuHn6Upjf3U97nnUN,indie jazz
84,0j7wLGDwHdUSPLkxCH3GBQ,indie anthem-folk
85,53KwLdlmrlCelAZMaLVZqU,art pop
86,587PA35pRGL1JwQr6idJbb,indie soul
87,6RsLLSkSTcL4YrvgRcBTQd,swiss house
88,2r7POU2f5jV6x3k4vsNwrM,vocal trance
89,2JM2yzMSOgq7VeG6nKm3PY,la indie
90,4KRGjXEJ1yed7F3ALFOAEO,glitch pop
91,0qzzGu8qpbXYpzgV52wOFT,ambient folk
92,3Nb8N20WChM0swo5qWTvm8,edmonton indie
93,4ClXiGv8w47iekyGEmtAyy,bedroom pop
94,14H7ag1wpQOsPPQJOD6Dqr,downtempo
95,6LtwY43IVeNpnireOVay0H,irish neo-traditional
96,5vSGASgbi5HVxq8fHjL6Qk,
97,0L2FsTbvoOWxuRcgSPDd7z,
98,1cQDZ3vvObFtSUrCIxGig7,stockholm indie
99,3dv4Q4q3LWOnbLJnC6GgTY,bedroom pop
100,2m1l9MLSslzup4vvokKgvQ,chamber pop
101,02nqs3YdfX7Th3gYTYFrqc,
102,0p5axeJsbtTCXBrRVoKjwu,brooklyn indie
103,3cvmzdKOmgBn7PrHkvnH0e,uk alternative pop
104,39vA9YljbnOApXKniLWBZv,art pop
105,3v8zs2ZmyhmZpfFAelXPjL,
106,2MUENaxB93ZPNclZIDEMMV,electronica
107,4TIrC99WSg0tOtBCGDjMRY,electro swing
108,3Sz7ZnJQBIHsXLUSo0OQtM,edmonton indie
109,58fzPwxNFw1Ae500uB038l,vapor soul
110,59oA5WbbQvomJz2BuRG071,indie soul
111,1mmehjf7eHA10uHMisZGJg,alternative dance
112,5BYcwjrQth7em7maAt0yKE,vapor soul
113,0qzzGu8qpbXYpzgV52wOFT,ambient folk
114,2KXLSIzI7CY7AJg5ARUOSb,minimal tech house
115,2pRRvc1D9seqK4txoe8laT,chamber psych
116,0iViECTHd21gYy1zIEvusi,indie catala
117,32aUoW94mJ7xTJI7fG0V1G,chicago indie
118,7FU0xCgmSYQEiBeevUqQ4S,electropop
119,5Ha7OvvalK4moJei0zEKg6,
120,6bEYoIUTLdcs4lZBNVw5L5,indie folk
121,7oZLKL1GjYiaAgssXsLmW8,australian indie
122,5szdY7KaSi7epwyffrbV8c,alternative dance
123,3dv4Q4q3LWOnbLJnC6GgTY,bedroom pop
124,0qzzGu8qpbXYpzgV52wOFT,ambient folk
125,6EHS9kZ9PpeXaJ4wZO3FSX,bedroom pop
126,4eArh1v6UwBbKkjdgHCned,charlottesville indie
127,1itM5tXaK5THggpXA7ovAe,indie soul
128,2KjAo6wVc9d2WcxdxSArpV,indie folk
129,7HgA0wYq2OBe9ac7awv1Jq,norwegian space disco
130,32aUoW94mJ7xTJI7fG0V1G,chicago indie
131,5E5cEevLYdQHU04gIkA3ff,ambient techno
132,4MDPHbvIFVhV4OJGGYIUY3,polish indie
133,4MXUO7sVCaFgFjoTI5ox5c,baroque pop
134,5E5cEevLYdQHU04gIkA3ff,ambient techno
135,3u7pCtxg4aDd40zBnrB5WE,
136,3U2w4PW1aS0fNikBX0u3pG,
137,1wmiQ6ytATiGnJs6uFluKO,art pop
138,4cHtgM7lauSNaau5uAm5Cc,compositional ambient
139,3rtvvt1kuQ4luEWq8epaHD,vapor soul
140,4ftctxasGrW5Ud5Pbw6kWq,indie garage rock
141,1itM5tXaK5THggpXA7ovAe,indie soul
142,2X196fObsrfnNS25WLbeVE,
143,09kXLeOXRyfNQMXRaDO4qA,art pop
144,41y1iPh0WqB7tyGdzyeinZ,art pop
145,59CWeBMEzwj6U2HhTVLJ3O,norwegian indie
146,0rZp7G3gIH6WkyeXbrZnGi,ambient folk
147,3Sz7ZnJQBIHsXLUSo0OQtM,edmonton indie
148,1HhSYZFNNPTTZuOlSfZUJP,colombian indie
