,id,name,url,image,tracks
0,5apHWYcigR3lSZpyzyGKEa,eargasm | breathe easy,https://open.spotify.com/playlist/5apHWYcigR3lSZpyzyGKEa,https://i.scdn.co/image/ab67706c0000bebbd3ccf5f082f33edea4a71b93,173
1,3MXM4ca1b3bT198F7mG9ms,eargasm | city walk,https://open.spotify.com/playlist/3MXM4ca1b3bT198F7mG9ms,https://i.scdn.co/image/ab67706c0000da84e10d9c77a8bbb2a34193da48,242
2,2QdM3NBe7lkOzC7OqWXfNI,eargasm | curvatronik,https://open.spotify.com/playlist/2QdM3NBe7lkOzC7OqWXfNI,https://i.scdn.co/image/ab67706c0000bebb2aa3904af7e13577641e188c,213
3,1CwPTyGbQDSda6m7vTys1d,eargasm | decadency,https://open.spotify.com/playlist/1CwPTyGbQDSda6m7vTys1d,https://i.scdn.co/image/ab67706c0000da84c70dd4edb44d52aad9d7ec14,68
4,6pGQQZ4PITmFnSC0rTnmXp,eargasm | deep water,https://open.spotify.com/playlist/6pGQQZ4PITmFnSC0rTnmXp,https://i.scdn.co/image/ab67706c0000da846e34ffcfa7ca202302f8891c,93
5,7tOxW8H2qzxGmIgwAFSYrw,eargasm | departure,https://open.spotify.com/playlist/7tOxW8H2qzxGmIgwAFSYrw,https://i.scdn.co/image/ab67706c0000da8446f0c1b455b45f19f271e504,112
6,1YfxkylLN0ecX19mAquHGy,eargasm | dust settling,https://open.spotify.com/playlist/1YfxkylLN0ecX19mAquHGy,https://i.scdn.co/image/ab67706c0000bebb5df4b8f9ae2b004c46504778,85
7,1zPa9pKaSsIZYVuuxZqAdv,eargasm | get moving,https://open.spotify.com/playlist/1zPa9pKaSsIZYVuuxZqAdv,https://i.scdn.co/image/ab67706c0000da8435be3bb6334f34daea56b371,125
8,4aVYl96G4Xjfsc7IT1V8pj,eargasm | glide,https://open.spotify.com/playlist/4aVYl96G4Xjfsc7IT1V8pj,https://i.scdn.co/image/ab67706c0000da842a3f8d7419ba54494fd9a5a8,83
9,5s9oeBauiz5PDbDHCRix0Y,eargasm | high frequency radio,https://open.spotify.com/playlist/5s9oeBauiz5PDbDHCRix0Y,https://i.scdn.co/image/ab67706c0000bebbc42e08933e5df914f0c2317c,170
10,7nrsN5xIdh0ol5cOV3Ri5D,eargasm | into the wild,https://open.spotify.com/playlist/7nrsN5xIdh0ol5cOV3Ri5D,https://i.scdn.co/image/ab67706c0000da845f9ad2caef14c14d0c0bc255,75
